dataset_id,split,split_seed,task_type,policy,delta_mae,delta_failure_rate
moleculeace_CHEMBL1871_Ki,scaffold,20260813,regression,random_axis,-0.029535858905279877,-0.0109375
moleculeace_CHEMBL1871_Ki,scaffold,20260813,regression,uncertainty_pool,-0.0311041897514232,-0.015625
moleculeace_CHEMBL1871_Ki,scaffold,20260814,regression,mara_axis,-0.0560603032574598,-0.046875
moleculeace_CHEMBL1871_Ki,scaffold,20260814,regression,mismatched_axis,-0.0359772701338308,-0.078125
moleculeace_CHEMBL1871_Ki,scaffold,20260814,regression,nearest_neighbor,-0.0425036530685569,-0.015625
moleculeace_CHEMBL1871_Ki,scaffold,20260814,regression,random_axis,-0.03903721964735865,-0.0625
moleculeace_CHEMBL1871_Ki,scaffold,20260814,regression,uncertainty_pool,-0.0427025692759728,-0.0625
moleculeace_CHEMBL1871_Ki,scaffold,20260815,regression,mara_axis,-0.024951400141838,-0.046875
moleculeace_CHEMBL1871_Ki,scaffold,20260815,regression,mismatched_axis,-0.0485852962114913,-0.046875
moleculeace_CHEMBL1871_Ki,scaffold,20260815,regression,nearest_neighbor,-0.0221111062669261,-0.03125
moleculeace_CHEMBL1871_Ki,scaffold,20260815,regression,random_axis,-0.030864071931234992,-0.0484375
moleculeace_CHEMBL1871_Ki,scaffold,20260815,regression,uncertainty_pool,-0.0702272668703173,-0.125
moleculeace_CHEMBL2034_Ki,random,20260811,regression,mara_axis,0.0164009088184684,0.03125
moleculeace_CHEMBL2034_Ki,random,20260811,regression,mismatched_axis,0.0056548792110815,0.015625
moleculeace_CHEMBL2034_Ki,random,20260811,regression,nearest_neighbor,0.0068882085103709,0.015625
moleculeace_CHEMBL2034_Ki,random,20260811,regression,random_axis,0.00917355931752405,0.00625
moleculeace_CHEMBL2034_Ki,random,20260811,regression,uncertainty_pool,0.0228894892671605,0.03125
moleculeace_CHEMBL2034_Ki,random,20260812,regression,mara_axis,0.0426106990971015,0.015625
moleculeace_CHEMBL2034_Ki,random,20260812,regression,mismatched_axis,0.0559192907389458,0.015625
moleculeace_CHEMBL2034_Ki,random,20260812,regression,nearest_neighbor,0.0434694237435824,0.015625
moleculeace_CHEMBL2034_Ki,random,20260812,regression,random_axis,0.03418174640768129,0.0203125
moleculeace_CHEMBL2034_Ki,random,20260812,regression,uncertainty_pool,0.0318478277162916,0.015625
moleculeace_CHEMBL2034_Ki,random,20260813,regression,mara_axis,0.0271490787795414,-0.015625
moleculeace_CHEMBL2034_Ki,random,20260813,regression,mismatched_axis,0.0280706234900643,0.046875
moleculeace_CHEMBL2034_Ki,random,20260813,regression,nearest_neighbor,0.029621680598493,-0.03125
moleculeace_CHEMBL2034_Ki,random,20260813,regression,random_axis,0.02097340470698223,0.0046875
moleculeace_CHEMBL2034_Ki,random,20260813,regression,uncertainty_pool,0.0037567881166497,0.015625
moleculeace_CHEMBL2034_Ki,random,20260814,regression,mara_axis,0.0114079902019669,-0.015625
moleculeace_CHEMBL2034_Ki,random,20260814,regression,mismatched_axis,-0.0212157169334218,-0.0625
moleculeace_CHEMBL2034_Ki,random,20260814,regression,nearest_neighbor,0.0070753319977944,-0.015625
moleculeace_CHEMBL2034_Ki,random,20260814,regression,random_axis,0.00244137340524807,-0.025
moleculeace_CHEMBL2034_Ki,random,20260814,regression,uncertainty_pool,-0.0136281251161448,-0.046875
moleculeace_CHEMBL2034_Ki,random,20260815,regression,mara_axis,0.0360212671487282,0.0
moleculeace_CHEMBL2034_Ki,random,20260815,regression,mismatched_axis,0.0219037308527239,-0.015625
moleculeace_CHEMBL2034_Ki,random,20260815,regression,nearest_neighbor,0.0290490625615473,0.0
moleculeace_CHEMBL2034_Ki,random,20260815,regression,random_axis,0.019353106369178162,-0.003125
moleculeace_CHEMBL2034_Ki,random,20260815,regression,uncertainty_pool,0.0077609480835827,-0.015625
moleculeace_CHEMBL2034_Ki,scaffold,20260811,regression,mara_axis,-0.0088903283671617,0.03125
moleculeace_CHEMBL2034_Ki,scaffold,20260811,regression,mismatched_axis,0.0083349556251652,0.03125
moleculeace_CHEMBL2034_Ki,scaffold,20260811,regression,nearest_neighbor,0.0301685617806217,0.0
moleculeace_CHEMBL2034_Ki,scaffold,20260811,regression,random_axis,0.01534913185359002,0.034375
moleculeace_CHEMBL2034_Ki,scaffold,20260811,regression,uncertainty_pool,-0.0069349308267011,0.0
moleculeace_CHEMBL2034_Ki,scaffold,20260812,regression,mara_axis,0.0547575194292297,0.03125
moleculeace_CHEMBL2034_Ki,scaffold,20260812,regression,mismatched_axis,0.0467165579711973,0.046875
moleculeace_CHEMBL2034_Ki,scaffold,20260812,regression,nearest_neighbor,0.0549666576728442,0.015625
moleculeace_CHEMBL2034_Ki,scaffold,20260812,regression,random_axis,0.057656399866888516,0.0421875
moleculeace_CHEMBL2034_Ki,scaffold,20260812,regression,uncertainty_pool,0.0288126122261976,0.03125
moleculeace_CHEMBL2034_Ki,scaffold,20260813,regression,mara_axis,0.0346213278729973,0.015625
moleculeace_CHEMBL2034_Ki,scaffold,20260813,regression,mismatched_axis,-0.0044702470957658,0.046875
moleculeace_CHEMBL2034_Ki,scaffold,20260813,regression,nearest_neighbor,0.0025133484746282,0.03125
moleculeace_CHEMBL2034_Ki,scaffold,20260813,regression,random_axis,-0.0019322891889707202,0.0203125
moleculeace_CHEMBL2034_Ki,scaffold,20260813,regression,uncertainty_pool,0.0479402423056578,0.046875
moleculeace_CHEMBL2034_Ki,scaffold,20260814,regression,mara_axis,-0.0174544291728817,0.046875
moleculeace_CHEMBL2034_Ki,scaffold,20260814,regression,mismatched_axis,-0.0443621823543338,0.046875
moleculeace_CHEMBL2034_Ki,scaffold,20260814,regression,nearest_neighbor,-0.0492725235450137,0.0
moleculeace_CHEMBL2034_Ki,scaffold,20260814,regression,random_axis,-0.04192546576843404,0.03125
moleculeace_CHEMBL2034_Ki,scaffold,20260814,regression,uncertainty_pool,-0.0520390786702875,-0.046875
moleculeace_CHEMBL2034_Ki,scaffold,20260815,regression,mara_axis,0.0064411335120005,0.015625
moleculeace_CHEMBL2034_Ki,scaffold,20260815,regression,mismatched_axis,-0.0237012967920692,0.03125
moleculeace_CHEMBL2034_Ki,scaffold,20260815,regression,nearest_neighbor,0.0007141157712079,0.046875
moleculeace_CHEMBL2034_Ki,scaffold,20260815,regression,random_axis,-0.0008897536567674802,0.0296875
moleculeace_CHEMBL2034_Ki,scaffold,20260815,regression,uncertainty_pool,-0.0162935343817436,0.03125
