missingness_mechanism,mask_rate,strategy,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_brier_mean,risk_brier_std,risk_nll_mean,risk_nll_std,risk_ece_mean,risk_ece_std,aurc_mean,aurc_std,attribution_macro_f1_all_causes_mean,attribution_macro_f1_all_causes_std,attribution_micro_f1_all_causes_mean,attribution_micro_f1_all_causes_std,attribution_macro_f1_observable_causes_mean,attribution_macro_f1_observable_causes_std,attribution_micro_f1_observable_causes_mean,attribution_micro_f1_observable_causes_std
adversarial,0.3,axis_dropout_training,0.7855399640397029,0.0017837953581629,0.6885073781477601,0.0028800616434194,0.1622953534343466,0.0005888976927057,0.4968010148568389,0.0012858528223125,0.0146711166680082,0.0023252382552781,0.1601803112215119,0.001650400200778,0.3663704979520829,0.0016456455185696,0.3739231076954728,0.0014876444176251,0.8825942302690697,0.0028900334143046,0.8965031744777313,0.002498364758693
adversarial,0.3,missing_indicator,0.8217388708256239,0.0018220460770938,0.7340695193979935,0.0019475714743792,0.1493888567230688,0.0006590483197918,0.4656855254792467,0.0019652217838151,0.0192023436581715,0.0023116913930384,0.1415317588439089,0.0021558363125531,0.3636852959144862,0.0035228540501428,0.3716672207891552,0.0028820217838545,0.8807130656261645,0.0047509582026038,0.8948323157223597,0.0040402343660893
adversarial,0.3,modular_inference,0.803441686277879,0.0016515215817373,0.7152323944885456,0.0023202646010073,0.1556590278266761,0.0006159015996244,0.481480214515069,0.0012953302280639,0.0206329498565195,0.0021376774513458,0.1519518174967723,0.0017116553742448,0.363516333804825,0.0050292710628188,0.371344403487501,0.0043659514687067,0.8792381007572565,0.007650413369641,0.8935493448920203,0.005982902739028
adversarial,0.3,zero_imputation,0.7842344439276236,0.001684917329741,0.6877742311857905,0.0027820655865486,0.1643923158503589,0.0005835896978393,0.5026511540335404,0.001116237109343,0.0372870594843357,0.0013774882108293,0.1610823833377537,0.0016569386561862,0.363516333804825,0.0050292710628188,0.371344403487501,0.0043659514687067,0.8792381007572565,0.007650413369641,0.8935493448920203,0.005982902739028
adversarial,0.5,axis_dropout_training,0.7325240271593468,0.0023909322100147,0.64035365880407,0.0035573049865274,0.1747979806410133,0.0007726932697696,0.5287276622873647,0.0017105840534624,0.015187978896636,0.0018539223324469,0.1912253152851155,0.0020672959877078,0.1657697270488046,0.001389344367652,0.167347791656233,0.0012895054793859,0.8851510253007386,0.001930339071019,0.8925407998739481,0.0014512229020428
adversarial,0.5,missing_indicator,0.7831683986250011,0.0021365153614353,0.6877531312537698,0.0022821687199771,0.163257880369886,0.0008422920223305,0.4999031615545322,0.0022295626728021,0.0144309968844768,0.002532535983754,0.1599076226692489,0.0026297498334637,0.165719888621956,0.0014293067649455,0.1672250196147883,0.0012838362068057,0.8833201058324626,0.002699740123331,0.8909867785144818,0.0022036536871965
adversarial,0.5,modular_inference,0.7541862626849495,0.0025939624112054,0.6625893518865574,0.0028529578144484,0.1720913597367341,0.0008180029831611,0.5226206375969606,0.0017561125616712,0.0367235886368827,0.0045177275864311,0.1804489482786382,0.0024807027709536,0.1661290470533046,0.0013153566171454,0.1675745675215414,0.0012514433700211,0.8851540275914827,0.00156895704749,0.8921242432959927,0.0007519000482087
adversarial,0.5,zero_imputation,0.7305397957205096,0.0027426155682854,0.6379805238258894,0.0035419323090261,0.176580077831197,0.0008425899095442,0.5344452168479512,0.001877366616251,0.0180306761891067,0.0025412595205171,0.1924760910864554,0.0024286991195397,0.1661290470533046,0.0013153566171454,0.1675745675215414,0.0012514433700211,0.8851540275914827,0.00156895704749,0.8921242432959927,0.0007519000482087
adversarial,0.7,axis_dropout_training,0.6841151449945384,0.0040992149802081,0.5876404341069794,0.0055632836413519,0.1865534773379751,0.0008287362135855,0.5571364910836103,0.0017765084092106,0.0152693969577038,0.0017452639407844,0.2224933147864245,0.0016573405404522,0.073237702059609,0.0009393327036475,0.0738954399575652,0.0009288108178747,0.9970492388881704,0.0003342936527914,0.9973124095518552,0.0002817077214042
adversarial,0.7,missing_indicator,0.7304615369087823,0.0020978980705026,0.6274670323996373,0.0030626510519354,0.1777765987270986,0.0008124161201492,0.5356609427868646,0.0019909002958481,0.0110866983162809,0.0030750766857244,0.1886942598933398,0.0026126291904148,0.0732193141650157,0.0009656993839213,0.0738669660656935,0.0009529370861038,0.996840880763506,0.0004845225084409,0.9971602838898996,0.0004083610244899
adversarial,0.7,modular_inference,0.7049735088754876,0.003720558261396,0.611559212480419,0.005491088358242,0.1847200643541869,0.0006985433247933,0.5523731450082232,0.0014522347625146,0.0295163794061195,0.0042678082338442,0.2124439651429545,0.0019607275527775,0.0732851190052938,0.000943819231326,0.073932923522387,0.0009355688885839,0.9970407997368242,0.0003077641139742,0.997293236059089,0.0002686249648955
adversarial,0.7,zero_imputation,0.6821363111368234,0.0041343458693175,0.5849195903376898,0.0055789083327289,0.190877199521897,0.0008279513325492,0.5670732000578905,0.0015858548427434,0.0436283421680834,0.0029268725363199,0.2234989406745502,0.001645690515798,0.0732851190052938,0.000943819231326,0.073932923522387,0.0009355688885839,0.9970407997368242,0.0003077641139742,0.997293236059089,0.0002686249648955
axis_dependent,0.1,axis_dropout_training,0.806721485830543,0.0019418254095926,0.7133345487817586,0.0017946547897338,0.1559256814754381,0.0007796687233366,0.4824293152475431,0.0021216045070233,0.0260683393827018,0.0028312033520948,0.1489856692886094,0.0018567302633473,0.7988366460617226,0.0032899452735398,0.8108257701869684,0.0022769217796386,0.862734462430739,0.0032836448675212,0.8745952239310645,0.0024333012987453
axis_dependent,0.1,missing_indicator,0.8279029316762602,0.0015783958914906,0.7371051150302661,0.0023580514546894,0.1487137974204553,0.0007043494829265,0.4624018247352298,0.0020578828858104,0.0242655723565313,0.002686272296922,0.1348414330273866,0.0018708361571623,0.8022102813401413,0.0030896600522954,0.8123470175707276,0.0015415694793958,0.8661605659669485,0.0031273240733183,0.8759455997906702,0.0018167558563609
axis_dependent,0.1,modular_inference,0.8239825081481037,0.0016386085492236,0.7295077589761146,0.0035398664598653,0.1500884465241735,0.0007354056801117,0.4663146493166256,0.0019594426397502,0.022167748855217,0.0021455914735579,0.1382484778398964,0.0014926500878402,0.7970981440363561,0.0021685570518133,0.8092992952091089,0.0019576339615418,0.8611090679838955,0.0024499001332373,0.8729997011573156,0.0024110305176549
axis_dependent,0.1,zero_imputation,0.8065177082276819,0.0018386734833731,0.7135444931807834,0.0021374263904089,0.1557903132808722,0.0007303296530698,0.4810691303718299,0.0018534318113732,0.0209676363159699,0.0024950457132956,0.1490468181986272,0.0017045477843857,0.7970981440363561,0.0021685570518133,0.8092992952091089,0.0019576339615418,0.8611090679838955,0.0024499001332373,0.8729997011573156,0.0024110305176549
axis_dependent,0.3,axis_dropout_training,0.7476512513760307,0.0018485564775301,0.6354161510759708,0.0043007187150721,0.1758042419506564,0.0005142711277498,0.5319485058212774,0.0013233719616724,0.0200767632165772,0.0022526259319312,0.1849962203475346,0.0016309323675429,0.6768217778372703,0.0018177576080821,0.6904018427953201,0.0018340565096594,0.8783308668443659,0.0026984817714142,0.8898586498566994,0.0020661925560107
axis_dependent,0.3,missing_indicator,0.7988695395568441,0.0011494631079175,0.6933524581241318,0.0022378724312404,0.1606356502402537,0.0007482533940067,0.4921914417231798,0.0020023454913365,0.0212118818321851,0.0013845344231487,0.1485650312395391,0.0017679829367047,0.676101409197283,0.0020971120674348,0.6900207276862915,0.0019422983029091,0.8781357035277324,0.0023842986873681,0.8889475391600083,0.0021640787718862
axis_dependent,0.3,modular_inference,0.7867920471170275,0.0017269828282033,0.6687660696215584,0.0036354177983503,0.1648632670775723,0.0009197214541401,0.5044215164199569,0.0022809921568658,0.0205017256431428,0.0019951821672755,0.1615845820887281,0.001974836047453,0.6761714222264283,0.0019058291437558,0.6900558833707455,0.0020746570361219,0.8788107993649822,0.0026243445178414,0.8896684227848279,0.0023647208939165
axis_dependent,0.3,zero_imputation,0.7477937521384328,0.0016891602330322,0.6352176481854419,0.0041460622392776,0.1755268587417761,0.0007572650293765,0.53023834165831,0.0018050414734109,0.0154929272839732,0.0018651954675834,0.1849163742124689,0.0018341931721352,0.6761714222264283,0.0019058291437558,0.6900558833707455,0.0020746570361219,0.8788107993649822,0.0026243445178414,0.8896684227848279,0.0023647208939165
