suite,split,method,n,seed_n,dataset_n,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_coverage_auc_mean,risk_coverage_auc_std,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_90_mean,selective_risk_at_90_std,worst_slice_risk_mean,worst_slice_risk_std,coverage_gap_worst_minus_overall_mean,coverage_gap_worst_minus_overall_std,route_group,paper_role,result_source
BindingDB10k,temporal,risk_mara_ad_guard,10,10,1,0.5527739470913804,0.0,0.2281953803470175,0.0,0.00702237596267207,1.6461808789014874e-09,0.5065219688258898,4.832831129300938e-11,0.16312853862179658,1.5235400092616736e-11,0.1819853969711618,0.0,0.2049025769956002,0.0,0.2078212290502793,0.0,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Proposed,ood-guard-variant,ours_rerun_same_protocol
BindingDB10k,temporal,risk_mara_ad_guard_isotonic,10,10,1,0.5439879087120069,1.1702778228589004e-16,0.2236111632278543,0.0,0.007232856400335201,9.14279549108516e-19,0.5108559646360752,0.0,0.163259831321283,0.0,0.1879280604293358,0.0,0.2061596480201131,0.0,0.2078212290502793,0.0,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Proposed,ood-guard-calibrated-variant,ours_rerun_same_protocol
BindingDB10k,temporal,risk_mara_ad_guard_rate,10,10,1,0.5527739470913804,0.0,0.2281953803470175,0.0,0.0232510206191733,6.105167704934804e-10,0.5084070012351809,9.327370898031153e-11,0.16344439037098535,3.7518091955811476e-11,0.1819853969711618,0.0,0.2049025769956002,0.0,0.2078212290502793,0.0,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Proposed,ood-guard-rate-matched-variant,ours_rerun_same_protocol
BindingDB10k,temporal,risk_mara_dual_blend_rate,10,10,1,0.5073283424961984,0.0005443360900935065,0.21427802495721932,0.0006223074383581881,0.04664710171808092,0.0021067885213309112,0.5166700625126415,9.366083457991849e-05,0.1664603074619897,3.382985385273577e-05,0.20444094141439328,0.00031292545117415736,0.20553111250785666,0.001068304947327206,0.2056983240223463,0.00035332711286797496,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Proposed,dual-head-blend-variant,ours_rerun_same_protocol
BindingDB10k,temporal,risk_mara_dual_guard_rate,10,10,1,0.49704459124181966,0.0009323207236596594,0.20763934627428973,0.0005049271114231243,0.049679810626139596,0.0027210800485738397,0.5179654603169416,0.0001464347964348321,0.1668606505643962,4.848536664667336e-05,0.2068128997101585,0.00045430386452336677,0.20810810810810806,0.0010866375428359412,0.2045251396648044,0.0006688374300211638,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Proposed,dual-head-guard-variant,ours_rerun_same_protocol
BindingDB10k,temporal,risk_mara_isotonic,10,10,1,0.5296418171408167,0.00048270311937745406,0.22231469424530861,0.00010422691039178797,0.02029983661816092,0.006646325010661669,0.5116361736998184,2.5235497882976893e-05,0.16513132836306937,7.844689334291639e-06,0.196952745228902,0.0013224829977099006,0.20691389063482082,0.0009737230285876351,0.20815642458100556,0.00028849037960576633,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Proposed,calibrated-variant,ours_rerun_same_protocol
BindingDB10k,temporal,risk_mara_rank_fusion,10,10,1,0.5429041408351855,0.0012259154352307143,0.22235960677856426,0.0009227521594072451,0.010396679078504232,0.0014883215117208403,0.5074958513233623,0.00018234781487982862,0.16359618799530878,5.829658125137897e-05,0.183451053171025,0.0006223246651953059,0.20647391577624133,0.0009011444863861869,0.2062569832402234,0.0007355090375468046,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Proposed,rank-fusion-main,ours_rerun_same_protocol
BindingDB10k,temporal,risk_rf_error_predictor,10,10,1,0.5373029932709888,0.004118909812860547,0.23260822217052843,0.003935532658223488,0.19734230990191393,0.0029516268448537496,0.6173206466448315,0.0028054763012809337,0.21408342015150078,0.0012865006112242963,0.19107792721910236,0.002183790867387624,0.1987429289754871,0.0027445251026713365,0.20480446927374296,0.0018472397419198891,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Direct mechanism competitors,direct-4,rerun_same_protocol
BindingDB10k,temporal,risk_scalar_full,10,10,1,0.49704459124181966,0.0009323207236596594,0.20763934627428973,0.0005049271114231243,0.29749843852607494,0.00047478320748127017,0.7068484403360807,0.0005479916976386485,0.25680346759730244,0.00027286152294937874,0.2068128997101585,0.00045430386452336677,0.20810810810810806,0.0010866375428359412,0.2045251396648044,0.0006688374300211638,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Strong scalar control,control-1,rerun_same_protocol
BindingDB10k,temporal,risk_uncertainty_only,10,10,1,0.5349117471418633,0.0,0.22540077634161187,2.925694557147251e-17,0.29081612029587955,5.851389114294502e-17,0.6921755325474972,0.0,0.24944937162943223,2.925694557147251e-17,0.1913527775176793,0.0,0.1998742928975487,0.0,0.20391061452513962,2.925694557147251e-17,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Recent same-task OOD/UQ,recent-2,rerun_same_protocol
