baseline,metric,n,mean_advantage,median_advantage,win_rate,wilcoxon_greater_p,bootstrap_ci95_low,bootstrap_ci95_high,holm_p_all_tests,holm_significant_0p05
risk_conformal_uq,risk_coverage_auc,680,0.0452886517416574,0.0464647283599248,0.961764705882353,4.347959072110756e-112,0.0435124162144364,0.0470810445356103,5.0871121143695846e-110,True
risk_conformal_uq,risk_ece_10bin,680,0.2876888958630496,0.2958204424553283,1.0,2.6281818569745956e-113,0.283849869851402,0.2916173896879775,3.994836422601385e-111,True
risk_conformal_uq,selective_risk_at_90,680,0.0130538568645028,0.0125523012552301,0.788235294117647,2.662843101482897e-81,0.0121102037556388,0.0140007961665614,1.863990171038028e-79,True
risk_conformal_uq,failure_auroc,680,0.106511917789021,0.107620394116444,0.9647058823529412,7.494178783294975e-112,0.1022548095855886,0.1107934769968403,8.543363812956271e-110,True
risk_conformal_uq,failure_auprc,680,0.1053174808892494,0.1061829435309153,0.9676470588235294,2.4662627479989473e-112,0.100450081149538,0.1097855372472591,2.9841779250787264e-110,True
risk_conformal_uq,risk_brier,680,0.1740507357429351,0.1689826055125206,1.0,2.6281818569745956e-113,0.171245600820705,0.1770187244709507,3.994836422601385e-111,True
risk_conformal_uq,selective_risk_at_80,680,0.0226843101694485,0.0204081632653061,0.8558823529411764,3.898806863586279e-95,0.0212896534544428,0.0241304916050678,3.3529739026842e-93,True
risk_conformal_uq,risk_nll,680,1.603869201825446,1.3956149033368517,1.0,2.6281818569745956e-113,1.5432352848171451,1.664001103018412,3.994836422601385e-111,True
risk_ensemble_variance,risk_coverage_auc,680,0.0452854908938302,0.0463192484067519,0.961764705882353,5.683707945802551e-112,0.0435224793127785,0.0470887216951848,6.536264137672933e-110,True
risk_ensemble_variance,risk_ece_10bin,680,0.2887424541662624,0.2756508762345103,1.0,2.6281818569745956e-113,0.2823647238405242,0.2951060219498148,3.994836422601385e-111,True
risk_ensemble_variance,selective_risk_at_90,680,0.0128033407415749,0.0119143088844837,0.7867647058823529,7.475438033625304e-81,0.0118706469279464,0.0137521317046277,5.15805224320146e-79,True
risk_ensemble_variance,failure_auroc,680,0.1065146257358427,0.1076031000584405,0.9647058823529412,8.289960665094589e-112,0.102239654815938,0.1108053784109298,9.367655551556885e-110,True
