ablation,method,case_n,dataset_n,seed_n,failure_auroc_mean,failure_auroc_std,failure_auroc_n,failure_auroc_formatted,failure_auprc_mean,failure_auprc_std,failure_auprc_n,failure_auprc_formatted,risk_ece_10bin_mean,risk_ece_10bin_std,risk_ece_10bin_n,risk_ece_10bin_formatted,risk_nll_mean,risk_nll_std,risk_nll_n,risk_nll_formatted,risk_brier_mean,risk_brier_std,risk_brier_n,risk_brier_formatted,risk_coverage_auc_mean,risk_coverage_auc_std,risk_coverage_auc_n,risk_coverage_auc_formatted,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_80_n,selective_risk_at_80_formatted,delta_vs_full_failure_auroc,improvement_vs_full_failure_auroc,delta_vs_full_failure_auprc,improvement_vs_full_failure_auprc,delta_vs_full_risk_ece_10bin,improvement_vs_full_risk_ece_10bin,delta_vs_full_risk_nll,improvement_vs_full_risk_nll,delta_vs_full_risk_brier,improvement_vs_full_risk_brier,delta_vs_full_risk_coverage_auc,improvement_vs_full_risk_coverage_auc,delta_vs_full_selective_risk_at_80,improvement_vs_full_selective_risk_at_80
noA5,risk_mara,75,5,5,0.6054379119666877,0.07284196751836046,75,0.6054 +/- 0.0728,0.3017217053047779,0.0880975723802968,75,0.3017 +/- 0.0881,0.27875367322620687,0.030180668308781418,75,0.2788 +/- 0.0302,0.6770853131021648,0.03684658310884229,75,0.6771 +/- 0.0368,0.2409242244406414,0.01666590980545694,75,0.2409 +/- 0.0167,0.16338463514919305,0.03545194304810262,75,0.1634 +/- 0.0355,0.18629586141640744,0.02934112812873496,75,0.1863 +/- 0.0293,-0.0036453180384449224,-0.0036453180384449224,-0.004334503514858701,-0.004334503514858701,0.0038202024976701776,-0.0038202024976701776,0.005044034123641072,-0.005044034123641072,0.0021220175096250127,-0.0021220175096250127,0.0007740873228606893,-0.0007740873228606893,0.002125618818640568,-0.002125618818640568
noA5,risk_mara_rank_fusion,75,5,5,0.6276978932749767,0.08105543839709976,75,0.6277 +/- 0.0811,0.3143900498050673,0.09271159981294982,75,0.3144 +/- 0.0927,0.042670201001217815,0.028325366234886087,75,0.0427 +/- 0.0283,0.49432972084696963,0.03845151715996339,75,0.4943 +/- 0.0385,0.15944638128839717,0.015162041209264163,75,0.1594 +/- 0.0152,0.1525862190326641,0.038654061080696925,75,0.1526 +/- 0.0387,0.18389844609665112,0.02601604715344257,75,0.1839 +/- 0.0260,0.00021178973273283663,0.00021178973273283663,-4.1974318815363176e-05,-4.1974318815363176e-05,0.003185085199418458,-0.003185085199418458,-0.0004754809977643992,0.0004754809977643992,-0.00018297440594994274,0.00018297440594994274,-7.552215499070924e-05,7.552215499070924e-05,0.0018661743668395292,-0.0018661743668395292
onlyA1,risk_mara,75,5,5,0.6052973013946833,0.0739785056192114,75,0.6053 +/- 0.0740,0.2996494904775522,0.09282480533092397,75,0.2996 +/- 0.0928,0.27869262721995913,0.03014004971288413,75,0.2787 +/- 0.0301,0.6757820993942774,0.03589689026593467,75,0.6758 +/- 0.0359,0.24043027965894406,0.01623808822379279,75,0.2404 +/- 0.0162,0.16332566888388447,0.03590474625861756,75,0.1633 +/- 0.0359,0.18635118194113437,0.030079200346302612,75,0.1864 +/- 0.0301,-0.0037859286104493517,-0.0037859286104493517,-0.006406718342084394,-0.006406718342084394,0.003759156491422444,-0.003759156491422444,0.0037408204157536318,-0.0037408204157536318,0.0016280727279276708,-0.0016280727279276708,0.000715121057552115,-0.000715121057552115,0.002180939343367494,-0.002180939343367494
onlyA1,risk_mara_rank_fusion,75,5,5,0.6238987528153873,0.08282889854068744,75,0.6239 +/- 0.0828,0.3107180161240995,0.09479020840834455,75,0.3107 +/- 0.0948,0.04613857806851856,0.026130988735146892,75,0.0461 +/- 0.0261,0.4959931762238251,0.038596752122643886,75,0.4960 +/- 0.0386,0.15988908233879293,0.015159572506842106,75,0.1599 +/- 0.0152,0.15397508100399027,0.03830157226424646,75,0.1540 +/- 0.0383,0.18407588787696733,0.027112146021030653,75,0.1841 +/- 0.0271,-0.003587350726856564,-0.003587350726856564,-0.0037140079997831643,-0.0037140079997831643,0.006653462266719201,-0.006653462266719201,0.0011879743790910724,-0.0011879743790910724,0.00025972664444581794,-0.00025972664444581794,0.0013133398163354681,-0.0013133398163354681,0.00204361614715573,-0.00204361614715573
onlyA2,risk_mara,45,2,5,0.5378707342625441,0.032764367301924786,45,0.5379 +/- 0.0328,0.22984978392804148,0.027100120808068787,45,0.2298 +/- 0.0271,0.2979117608014705,0.017292314823144386,45,0.2979 +/- 0.0173,0.6946990345044778,0.012850607403240007,45,0.6947 +/- 0.0129,0.2507069189656912,0.00639690307215871,45,0.2507 +/- 0.0064,0.18954793750644355,0.02192446497381102,45,0.1895 +/- 0.0219,0.1960134361307163,0.01533184942842468,45,0.1960 +/- 0.0153,-0.07121249574258859,-0.07121249574258859,-0.0762064248915951,-0.0762064248915951,0.022978290072933838,-0.022978290072933838,0.02265775552595406,-0.02265775552595406,0.011904712034674803,-0.011904712034674803,0.026937389680111196,-0.026937389680111196,0.011843193532949436,-0.011843193532949436
onlyA2,risk_mara_rank_fusion,45,2,5,0.5601897537286484,0.042174231915156186,45,0.5602 +/- 0.0422,0.24924815213025756,0.036965073750275565,45,0.2492 +/- 0.0370,0.02296936305491687,0.00879873942716495,45,0.0230 +/- 0.0088,0.5041102074567357,0.023468140641526535,45,0.5041 +/- 0.0235,0.16184951337360903,0.009733717809500247,45,0.1618 +/- 0.0097,0.17937309919545005,0.024599557549239138,45,0.1794 +/- 0.0246,0.1912805013557132,0.016397092309825816,45,0.1913 +/- 0.0164,-0.06729634981359545,-0.06729634981359545,-0.0651838719936251,-0.0651838719936251,-0.016515752746882488,0.016515752746882488,0.009305005612001704,-0.009305005612001704,0.002220157679261925,-0.002220157679261925,0.026711358007795255,-0.026711358007795255,0.009248229625901605,-0.009248229625901605
onlyA3,risk_mara,25,1,5,0.49840475927644284,0.008241654925289998,25,0.4984 +/- 0.0082,0.20483935820146648,0.016348195826661218,25,0.2048 +/- 0.0163,0.2947643488500664,0.015086192811061572,25,0.2948 +/- 0.0151,0.693198794231702,0.0007148392180705126,25,0.6932 +/- 0.0007,0.25002388708244644,0.00035582806353409073,25,0.2500 +/- 0.0004,0.20623335445930469,0.012902772967290914,25,0.2062 +/- 0.0129,0.20489275220950032,0.013315475217944852,25,0.2049 +/- 0.0133,-0.1106784707286898,-0.1106784707286898,-0.1012168506181701,-0.1012168506181701,0.019830878121529727,-0.019830878121529727,0.021157515253178327,-0.021157515253178327,0.011221680151430047,-0.011221680151430047,0.04362280663297233,-0.04362280663297233,0.020722509611733442,-0.020722509611733442
onlyA3,risk_mara_rank_fusion,25,1,5,0.5213307305904328,0.021312620376718647,25,0.5213 +/- 0.0213,0.2235581400456588,0.019910555899871694,25,0.2236 +/- 0.0199,0.028816324203481312,0.012377968333157368,25,0.0288 +/- 0.0124,0.5108038252340243,0.022538848844035904,25,0.5108 +/- 0.0225,0.16410946943282265,0.00945961730079002,25,0.1641 +/- 0.0095,0.19630760114839635,0.018109433500429595,25,0.1963 +/- 0.0181,0.19934744319410952,0.016319014115383505,25,0.1993 +/- 0.0163,-0.1061553729518111,-0.1061553729518111,-0.09087388407822386,-0.09087388407822386,-0.010668791598318045,0.010668791598318045,0.015998623389290312,-0.015998623389290312,0.0044801137384755385,-0.0044801137384755385,0.04364585996074155,-0.04364585996074155,0.017315171464297924,-0.017315171464297924
onlyA4,risk_mara,75,5,5,0.49501241156533005,0.019248821949218117,75,0.4950 +/- 0.0192,0.20861932602719635,0.028152280798115593,75,0.2086 +/- 0.0282,0.2911348967275369,0.026581377921562274,75,0.2911 +/- 0.0266,0.6943921617768398,0.008491435514138102,75,0.6944 +/- 0.0085,0.25055716332058753,0.003738126890341722,75,0.2506 +/- 0.0037,0.21580482794448486,0.03583822476649963,75,0.2158 +/- 0.0358,0.21585071586436594,0.029391665018949516,75,0.2159 +/- 0.0294,-0.1140708184398026,-0.1140708184398026,-0.09743688279244023,-0.09743688279244023,0.016201425999000207,-0.016201425999000207,0.022350882798316096,-0.022350882798316096,0.011754956389571136,-0.011754956389571136,0.0531942801181525,-0.0531942801181525,0.03168047326659906,-0.03168047326659906
onlyA4,risk_mara_rank_fusion,75,5,5,0.5822001633191992,0.07364168182911092,75,0.5822 +/- 0.0736,0.26942502536699714,0.07097520635144595,75,0.2694 +/- 0.0710,0.03685355894879621,0.023355786799713455,75,0.0369 +/- 0.0234,0.505567132696668,0.039485844171414965,75,0.5056 +/- 0.0395,0.16314587517578025,0.01627175412836641,75,0.1631 +/- 0.0163,0.17152304279432035,0.04197105579711619,75,0.1715 +/- 0.0420,0.19540828764181117,0.028557417742499102,75,0.1954 +/- 0.0286,-0.04528594022304466,-0.04528594022304466,-0.04500699875688552,-0.04500699875688552,-0.0026315568530031475,0.0026315568530031475,0.010761930851933943,-0.010761930851933943,0.003516519481433139,-0.003516519481433139,0.018861301606665548,-0.018861301606665548,0.013376015911999578,-0.013376015911999578
onlyA5,risk_mara,75,5,5,0.5546284788857662,0.05079001084934783,75,0.5546 +/- 0.0508,0.24777892212973954,0.0509730233482448,75,0.2478 +/- 0.0510,0.2814284000148138,0.03351428579810623,75,0.2814 +/- 0.0335,0.6815922537089288,0.019254566580648745,75,0.6816 +/- 0.0193,0.24444560424645806,0.00912020392483101,75,0.2444 +/- 0.0091,0.18655351439426518,0.03232666111129629,75,0.1866 +/- 0.0323,0.19910776743318176,0.029437861987962003,75,0.1991 +/- 0.0294,-0.054454751119366485,-0.054454751119366485,-0.05827728668989704,-0.05827728668989704,0.006494929286277096,-0.006494929286277096,0.009550974730405115,-0.009550974730405115,0.005643397315441667,-0.005643397315441667,0.023942966567932822,-0.023942966567932822,0.014937524835414884,-0.014937524835414884
onlyA5,risk_mara_rank_fusion,75,5,5,0.5661017109075206,0.05255419257280683,75,0.5661 +/- 0.0526,0.26947623177082136,0.06822987931564688,75,0.2695 +/- 0.0682,0.03900457849635594,0.0136427742366788,75,0.0390 +/- 0.0136,0.5093600000537806,0.037187418878485375,75,0.5094 +/- 0.0372,0.16415564198466862,0.015575915556089243,75,0.1642 +/- 0.0156,0.17978018068837648,0.03302301268158957,75,0.1798 +/- 0.0330,0.1942469101239575,0.025252063840888784,75,0.1942 +/- 0.0253,-0.061384392634723284,-0.061384392634723284,-0.0449557923530613,-0.0449557923530613,-0.0004805373054434167,0.0004805373054434167,0.014554798209046538,-0.014554798209046538,0.004526286290321507,-0.004526286290321507,0.02711843950072168,-0.02711843950072168,0.01221463839414591,-0.01221463839414591
