method,n,seed_n,dataset_n,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_coverage_auc_mean,risk_coverage_auc_std,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_90_mean,selective_risk_at_90_std,worst_slice_risk_mean,worst_slice_risk_std,coverage_gap_worst_minus_overall_mean,coverage_gap_worst_minus_overall_std,route_group,paper_role,result_source
risk_mara_ad_guard_isotonic,680,10,32,0.6304534432330045,0.0780022280044888,0.29467699126327185,0.08644762306427091,0.04748958871240871,0.02575899890200885,0.5134208849318941,0.0854343200503996,0.15584729216569324,0.023467329081816864,0.15108457135364797,0.048272023506550826,0.1746180150934609,0.042357595330290446,0.1862564545134528,0.04196622666039784,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,ood-guard-calibrated-variant,ours_rerun_same_protocol
risk_mara_ad_guard_rate,680,10,32,0.6386838449731825,0.08252903198346817,0.31844244991918186,0.10017685594939289,0.08829092247597327,0.03684808314581331,0.545246929277384,0.10808494540872383,0.1643061537802334,0.026365409583849288,0.1473270289455834,0.048739169117815964,0.17167324422289149,0.044404078026292745,0.18510547198016072,0.04229625219817417,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,ood-guard-rate-matched-variant,ours_rerun_same_protocol
risk_mara_dual_blend_rate,680,10,32,0.6729218428137923,0.07453692787467359,0.35025139078649925,0.09038340782852813,0.06597955147764727,0.03199216120984742,0.48890180587674803,0.06695095911644383,0.15502007052050343,0.023232454629305087,0.1307633803212107,0.04427867715331387,0.16589286324265734,0.042952853387821545,0.18253807524031268,0.039999676926160924,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,dual-head-blend-variant,ours_rerun_same_protocol
risk_mara_dual_guard_rate,680,10,32,0.6712997910452959,0.07464308437832906,0.3503541631549327,0.09259513421651909,0.055086053733081106,0.027794141523108048,0.47458794208581484,0.060403252522871514,0.15244229414584706,0.022862616358316025,0.1314291001457454,0.04422450945927227,0.16682571893223008,0.04273029882192544,0.18221019012605713,0.039860578447120466,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,dual-head-guard-variant,ours_rerun_same_protocol
risk_mara_isotonic,680,10,32,0.6641460376358073,0.07087117963677009,0.3174262903290704,0.07534911496237205,0.058349160238190374,0.03242061406579484,0.5357436679354192,0.12170106157058784,0.155938554889634,0.023416301768276127,0.13418848769224082,0.04437637428698613,0.1686351555053346,0.041405013911270376,0.18353482677768587,0.039311846212932454,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,calibrated-variant,ours_rerun_same_protocol
risk_mara_rank_fusion,680,10,32,0.6887940019134262,0.07233289265369151,0.3666687594918164,0.09245416921446575,0.05044962252921679,0.02646743564581812,0.4709782785811408,0.054042476472190765,0.1514751460929691,0.022148663021827702,0.12478201799589578,0.04284729390523237,0.16289399930221746,0.04150945035305089,0.18065440774608377,0.03959100844791352,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,rank-fusion-main,ours_rerun_same_protocol
risk_rf_error_predictor,680,10,32,0.6510806888503987,0.06938721546832118,0.33444362572195135,0.08422568384363566,0.15178115921611968,0.0404866484914084,0.5431372838058559,0.04968870313449572,0.18207788895927418,0.020226149973322043,0.14075637247070802,0.04637894942789293,0.17151982479221237,0.04192523274483851,0.18483721737842912,0.040033754429715504,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Direct mechanism competitors,direct-4,rerun_same_protocol
risk_scalar_full,680,10,32,0.6712975095243118,0.07464664589243804,0.3503538802057665,0.09259576442292447,0.26443054586053677,0.040895457775452206,0.6392387647368204,0.042946040774754356,0.22420511617211628,0.019869023285149195,0.13143193549591334,0.04422578497832766,0.16682571893223008,0.04273029882192544,0.18221019012605713,0.039860578447120466,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Strong scalar control,control-1,rerun_same_protocol
risk_uncertainty_only,680,10,32,0.5793183992829402,0.06507778742240436,0.26059865326079784,0.06757939908119005,0.28764410985157524,0.039117824737740316,0.6791417273775516,0.02040901490742964,0.24314459299884256,0.009789666941823344,0.17100625986418497,0.04280250712805917,0.18587197867531388,0.04483429580769378,0.19381554653544253,0.04207871065386923,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Recent same-task OOD/UQ,recent-2,rerun_same_protocol
risk_validation_knn_error,680,10,32,0.6126891682544042,0.06747013371111249,0.2962096960064061,0.07687482696324921,0.07696383090835145,0.028417474699572023,0.6032979534120028,0.12378389361848115,0.16273074176271754,0.02393076568030977,0.15600995362079384,0.04312492371904312,0.1788614459668302,0.03869875492452327,0.19006956701962435,0.037084383758551415,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Direct mechanism competitors,direct-3,rerun_same_protocol
