property,evaluation_split,method,seeds,cases,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_coverage_auc_mean,risk_coverage_auc_std
density,ood,risk_mara,5,5,0.6155508747579164,0.02960067673135897,0.9777705100545668,0.0029817147915400894,1.460775839847614,0.026793172272699128,0.5822678603232524,0.010898432828416472,0.7393150229522452,0.00820885956971458,0.9537709698567444,0.004902136490165708
density,ood,risk_mara_rank_fusion,5,5,0.8138369456616099,0.02565831969102194,0.9898506949073429,0.0025486875415798413,1.1849594358101527,0.007537079901355216,0.4716984344923583,0.0022288174970748983,0.6617840006102882,0.0026421530916540515,0.9279497910634031,0.005683297970279904
density,ood,risk_mara_rank_fusion_inductive_cdf,5,5,0.8147152653854685,0.025408726554899515,0.989834067391372,0.002636762150160295,1.188609759403066,0.00680272002818788,0.4733748106501593,0.0018783639322460465,0.6631270030514711,0.002682170282768858,0.927805029548939,0.005466194338960683
density,ood,risk_rank_fusion_inductive_without_mara,5,5,0.8437535741007602,0.025298541986800968,0.9912776555766916,0.002641736987638064,1.1646879347773846,0.008711269338966501,0.4645410023425386,0.0024513231429684626,0.6573862480321309,0.0028215240999753255,0.9238039625832568,0.005196505392892561
density,ood,risk_rf_error_predictor,5,5,0.800324190888087,0.038077767800855894,0.9886911994465599,0.004315272014821516,0.6041314864051397,0.022687922529402226,0.2068729932164895,0.010786994610012755,0.4032275722221222,0.013937567599603117,0.9301212852169755,0.005832383558600133
density,ood,risk_scalar_full,5,5,0.8420684382500548,0.02637552458475418,0.9916753061435457,0.0019350920445375985,0.433432535518987,0.019877026644571937,0.1290371660097855,0.008160414011700395,0.30361518760400835,0.012645270128933725,0.9249214821032243,0.006053980419249042
density,ood,risk_uncertainty_only,5,5,0.5122968150387079,0.03911363184399276,0.968617463104135,0.00349109055867785,0.6784522639533866,0.012350979716166142,0.24272381444182103,0.006107759518537149,0.4545522373585301,0.008487106709494341,0.9637415869605561,0.00623183115059029
density,ood,risk_validation_knn_error,5,5,0.7939896255223372,0.05645482005743093,0.9895409209370042,0.0037597615303386995,1.239621905613316,0.0750524593674969,0.4434229960708292,0.020998959026814208,0.6297265972413338,0.0157754453242314,0.9320639744090876,0.008549286855035742
hof,id,risk_knn_tanimoto,5,5,0.5971653630858941,0.012339013471798293,0.24257631480102732,0.026355425772719474,1.0840413341621156,0.042774984532041496,0.3332015663370956,0.005014655769286967,0.3922402759495395,0.01958837431225218,0.15370954880948545,0.018769471298408086
hof,id,risk_mahalanobis,5,5,0.45992739831129104,0.02054139152628408,0.17588431760625423,0.019100357638295457,0.8761880384748123,0.021427604848294906,0.2832984571223328,0.00408678089452574,0.30614005983590553,0.01671475438415512,0.21044172616574688,0.027562149981124634
hof,id,risk_mara,5,5,0.6078711476136618,0.026755493838283316,0.2710024859020594,0.02792155958252203,0.47812181770190154,0.033071104270401205,0.15181940802296945,0.013753304149547696,0.029331069166963097,0.009318335734451068,0.14662316658738792,0.024440378845576483
hof,id,risk_mara_rank_fusion,5,5,0.6403508720710442,0.020843899739585225,0.27980712600859986,0.021589616203828935,0.4708883929958591,0.02947041474817749,0.14986434772473264,0.012486585488644666,0.03052579848866379,0.013324493132433128,0.13406119737864902,0.016794341230002584
hof,id,risk_mara_rank_fusion_inductive_cdf,5,5,0.640829551465759,0.02064621616533692,0.2816920481211795,0.021382631619451215,0.4707092441581106,0.029727201162486245,0.14978400891609822,0.012586503451752698,0.02940958851151428,0.01230904810803311,0.1336278359772835,0.016626163512201426
hof,id,risk_rank_fusion_inductive_without_mara,5,5,0.6477949155105029,0.021446270189217336,0.28462559474013427,0.025687547472984636,0.4682507504226897,0.028476794444017572,0.14901227652871205,0.012299468066264438,0.028366495066699172,0.012525054742372518,0.13106103732656166,0.015588177232913482
hof,id,risk_rf_error_predictor,5,5,0.6065244610800524,0.019309116619202815,0.2642721492524302,0.03169879473566961,0.5801383888446336,0.014723237574559962,0.19674188132089918,0.006726907195450067,0.1994860176355036,0.01668212616058968,0.1483381960106241,0.020939374130861815
hof,id,risk_scalar_full,5,5,0.6274375463986809,0.023097578711874386,0.2876538797604214,0.02780751350043596,0.6684012947086667,0.010314930160855716,0.23789593186492156,0.004844057326552968,0.2931252320811839,0.01840299126272627,0.14036224337100328,0.023432221804087192
hof,id,risk_uncertainty_only,5,5,0.5953182090240869,0.04382439235761814,0.2630775758167022,0.03863209838784157,0.6833446658419364,0.01171939829359956,0.24500043250715903,0.005768261739484483,0.3048592169676866,0.01939121488680763,0.15663645047785288,0.03236877955154243
hof,id,risk_validation_knn_error,5,5,0.624504331386006,0.04343006289545606,0.2799661695165274,0.057429572358349674,0.6039045657034376,0.059266918935570824,0.15459948172284962,0.012074714415847749,0.04732462162838534,0.014161575726386834,0.1413159310047894,0.02369834903226671
